run,rsa_time_s,rsa_status,rsa_cpu_pct,rsa_mem_gb,pqc_time_s,pqc_status,pqc_cpu_pct,pqc_mem_gb
79,31,COMPROMETIDA,393.95,0.92,32,RESISTENTE,396.62,1.31
80,32,COMPROMETIDA,393.63,1.08,30,RESISTENTE,393.75,1.1
81,25,COMPROMETIDA,420.23,0.72,24,RESISTENTE,392.78,1.6
82,23,COMPROMETIDA,401.15,1.23,23,RESISTENTE,396.87,1.58
83,24,COMPROMETIDA,395.12,1.21,24,RESISTENTE,398.83,1.55
84,23,COMPROMETIDA,394.47,1.59,24,RESISTENTE,393.09,1.58
85,24,COMPROMETIDA,402.44,1.3,23,RESISTENTE,391.5,1.69
86,25,COMPROMETIDA,398.91,1.02,25,RESISTENTE,387.01,1.46
87,26,COMPROMETIDA,400.28,1.48,27,RESISTENTE,433.39,0.78
88,23,COMPROMETIDA,400.54,1.21,24,RESISTENTE,408.63,1.5
89,23,COMPROMETIDA,402.25,1.2,25,RESISTENTE,391.16,1.57
90,24,COMPROMETIDA,393.23,1.51,24,RESISTENTE,402.64,1.39
91,24,COMPROMETIDA,408.19,0.89,24,RESISTENTE,391.41,1.65
92,24,COMPROMETIDA,401.68,1.05,23,RESISTENTE,388.32,1.65
93,24,COMPROMETIDA,397.63,1.59,23,RESISTENTE,396.38,1.63
94,23,COMPROMETIDA,405.62,1.24,23,RESISTENTE,393.47,1.61
95,23,COMPROMETIDA,402.59,1.22,24,RESISTENTE,411.51,1.68
96,23,COMPROMETIDA,401.03,1.04,23,RESISTENTE,395.24,1.61
97,24,COMPROMETIDA,412.2,1.05,24,RESISTENTE,385.98,1.69
98,24,COMPROMETIDA,404.31,1.52,24,RESISTENTE,397.27,1.75
99,23,COMPROMETIDA,396.82,1.29,24,RESISTENTE,395.75,1.87
100,24,COMPROMETIDA,397.47,1.33,24,RESISTENTE,389.2,1.54
